#Acq. time (s)=	15
#Accumulations=	4
#Range (cm-¹)=	50...4000
#Windows=	3
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	5%
#Laser=	532nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	120523
#Site=	ap
#Title=	mz
#Remark=	5 laser intensity
#Date=	12.05.2023 17:17
#Acquired=	12.05.2023 17:17:49
51.0297	17.3333
52.8754	26.6667
54.7185	28.6667
56.5635	31.3333
58.406	36
60.2502	48.6667
62.0919	62.6667
63.9355	86
65.7765	96
67.6193	121.333
69.4595	142.667
71.3016	165.333
73.1412	212
74.9825	257.333
76.8214	271.333
78.662	302.667
80.5001	308.667
82.34	339.333
84.1774	362.667
86.0166	386.667
87.8532	416.667
89.6917	408
91.5276	416.667
93.3632	400.667
95.2006	400
97.0355	412
98.8721	422
100.706	426
102.54	408
104.376	418.667
106.209	444.667
108.041	423.333
109.876	440.667
111.708	449.333
113.542	435.333
115.373	434.667
117.204	468
119.036	454
120.867	440.667
122.697	432
124.526	450
126.357	437.333
128.186	453.333
130.014	445.333
131.845	445.333
133.672	448.667
135.5	460
137.327	451.333
139.155	454.667
140.982	466.667
142.807	470.667
144.633	458
146.46	474
148.285	464.667
150.11	463.333
151.934	478.667
153.757	466.667
155.583	475.333
157.406	456
159.229	490.667
161.051	472
162.873	488.667
164.697	475.333
166.518	450.667
168.339	477.333
170.159	500.667
171.98	482.667
173.799	478.667
175.619	472
177.44	485.333
179.259	474
181.077	466.667
182.895	478
184.713	490.667
186.53	492
188.347	496
190.164	491.333
191.98	496
193.796	504
195.612	490.667
197.427	503.333
199.242	495.333
201.059	497.333
202.873	483.333
204.686	494
206.5	492.667
208.313	486.667
210.126	484
211.938	492.667
213.75	502
215.562	512
217.373	504.667
219.184	494.667
220.993	495.333
222.803	485.333
224.613	501.333
226.422	492
228.232	504.667
230.04	498
231.849	514.667
233.657	490.667
235.465	498.667
237.272	495.333
239.079	514
240.886	512
242.693	511.333
244.497	505.333
246.302	494.667
248.108	516
249.913	508.667
251.717	510
253.521	506
255.325	510.667
257.127	521.333
258.93	520.667
260.733	522.667
262.535	513.333
264.338	504
266.137	513.333
267.939	505.333
269.74	520
271.541	526
273.341	530
275.139	515.333
276.939	504.667
278.738	523.333
280.537	520.667
282.334	525.333
284.132	503.333
285.93	532
287.728	519.333
289.523	514.667
291.32	514.667
293.117	528.667
294.911	524
296.707	530
298.502	526.667
300.295	530.667
302.09	540.667
303.885	510.667
305.677	530
307.47	553.333
309.264	534.667
311.055	541.333
312.848	544
314.64	522.667
316.43	558
318.222	553.333
320.011	540
321.802	540
323.593	552
325.381	557.333
327.171	557.333
328.958	550
330.748	536
332.535	554
334.323	557.333
336.109	558.667
337.897	553.333
339.685	546.667
341.47	576
343.257	562.667
345.041	550.667
346.827	544
348.611	519.333
350.397	550.667
352.18	544
353.962	542.667
355.747	546
357.529	564
359.312	547.333
361.094	565.333
362.877	580.667
364.658	535.333
366.44	553.333
368.22	570
369.999	578.667
371.781	566
373.56	554.667
375.34	549.333
377.119	576
378.896	560
380.676	564.667
382.453	576.667
384.23	568
386.009	561.333
387.785	573.333
389.561	582
391.338	598.667
393.113	576.667
394.888	574
396.665	563.333
398.439	576
400.213	560.667
401.988	578
403.761	569.333
405.534	585.333
407.306	574.667
409.081	577.333
410.852	572.667
412.624	589.333
414.395	600.667
416.167	575.333
417.938	575.333
419.708	579.333
421.477	588
423.249	592
425.018	565.333
426.786	565.333
428.555	574
430.323	572
432.092	581.333
433.86	584.667
435.627	577.333
437.393	581.333
439.16	592.667
440.926	586
442.691	596
444.458	592.667
446.223	598.667
447.988	589.333
449.752	588
451.516	601.333
453.28	596
455.043	594.667
456.806	614
458.568	604.667
460.33	604.667
462.092	605.333
463.854	616
465.615	610.667
467.378	613.333
469.138	622.667
470.899	606.667
472.658	611.333
474.418	614.667
476.177	621.333
477.936	624
479.694	624.667
481.452	625.333
483.21	616.667
484.966	632.667
486.723	626.667
488.48	613.333
490.236	614.667
491.992	629.333
493.748	618.667
495.503	625.333
497.258	640.667
499.013	624
500.768	612.667
502.522	616.667
504.276	623.333
506.029	630
507.78	634.667
509.533	632.667
511.285	622
513.037	632
514.789	630
516.54	616
518.289	634.667
520.04	629.333
521.791	634
523.541	643.333
525.29	647.333
527.04	646
528.787	644.667
530.536	638
532.284	632
534.032	628.667
535.778	648.667
537.525	647.333
539.272	663.333
541.019	648
542.763	652
544.509	643.333
546.255	646
548	642.667
549.743	646
551.488	651.333
553.232	669.333
554.974	654
556.718	655.333
558.462	674.667
560.203	661.333
561.945	655.333
563.688	663.333
565.428	654
567.169	643.333
568.911	648
570.65	668.667
572.391	662.667
574.129	650.667
575.869	644
577.609	648.667
579.346	650.667
581.085	663.333
582.822	663.333
584.56	672.667
586.296	662
588.034	670.667
589.771	651.333
591.506	639.333
593.243	671.333
594.978	655.333
596.714	645.333
598.447	662.667
600.183	666.667
601.916	655.333
603.651	660.667
605.383	679.333
607.117	662
608.849	659.333
610.582	675.333
612.313	664.667
614.044	686.667
615.776	686.667
617.507	667.333
619.238	677.333
620.968	679.333
622.699	682
624.428	683.333
626.156	690
627.886	678.667
629.614	672
631.342	685.333
633.071	700.667
634.797	698.667
636.526	684
638.252	690
639.978	695.333
641.705	707.333
643.431	706
645.155	678.667
646.88	704.667
648.606	707.333
650.33	707.333
652.053	704.667
653.779	711.333
655.502	691.333
657.224	716
658.946	695.333
660.67	698
662.392	687.333
664.113	714
665.834	704.667
667.556	712.667
669.277	711.333
670.997	702.667
672.716	704
674.435	712.667
676.156	680.667
677.875	693.333
679.593	684
681.311	699.333
683.029	716
684.746	698.667
686.465	694
688.182	702
689.898	704.667
691.614	708.667
693.33	694
695.045	706.667
696.76	714.667
698.475	702
700.189	707.333
701.904	706
703.619	713.333
705.333	712.667
707.046	718.667
708.759	724
710.471	698.667
712.183	705.333
713.895	714
715.606	720.667
717.317	712
719.028	736.667
720.739	730
722.449	724.667
724.159	736.667
725.868	722
727.578	724.667
729.286	714.667
730.995	721.333
732.703	716.667
734.409	717.333
736.117	716
737.824	730.667
739.531	708
741.237	726.667
742.944	736.667
744.65	704.667
746.355	732
748.061	707.333
749.766	738
751.468	722.667
753.173	726
754.877	715.333
756.581	744.667
758.284	730.667
759.987	718.667
761.688	704.667
763.39	716.667
765.092	738
766.794	724
768.496	734.667
770.195	726.667
771.896	723.333
773.596	720.667
775.296	725.333
776.994	718
778.694	737.333
780.393	721.333
782.092	734
783.788	721.333
785.487	730
787.185	712
788.882	733.333
790.578	751.333
792.274	750
793.971	718.667
795.666	731.333
797.362	735.333
799.057	730
800.751	734
802.446	702
804.138	743.333
805.833	742
807.527	756
809.219	728
810.912	729.333
812.605	723.333
814.296	752
815.989	734
817.679	742.667
819.371	763.333
821.06	742
822.752	738
824.441	758.667
826.131	767.333
827.822	759.333
829.51	745.333
831.199	746
832.887	728.667
834.576	750
836.262	745.333
837.951	752
839.637	740
841.323	759.333
843.01	750.667
844.695	756.667
846.382	773.333
848.066	766
849.753	766
851.436	758.667
853.122	761.333
854.805	766.667
856.488	774.667
858.173	803.333
859.855	748
861.539	756
863.221	778.667
864.902	767.333
866.585	777.333
868.266	756.667
869.946	762.667
871.628	748
873.308	773.333
874.987	766
876.668	791.333
878.347	762.667
880.026	770
881.704	764
883.384	770
885.061	766.667
886.739	766.667
888.418	753.333
890.094	782
891.771	758.667
893.447	754.667
895.122	764.667
896.799	770.667
898.475	763.333
900.149	754.667
901.824	780
