#Acq. time (s)=	15
#Accumulations=	4
#Range (cm-¹)=	50...4000
#Windows=	3
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	5%
#Laser=	532nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	120523
#Site=	ap
#Title=	mz
#Remark=	5 laser intensity
#Date=	12.05.2023 16:56
#Acquired=	12.05.2023 16:56:50
51.0297	26
52.8754	30.6667
54.7185	36
56.5635	38.6667
58.406	50.6667
60.2502	67.3333
62.0919	92.6667
63.9355	126
65.7765	144.667
67.6193	183.333
69.4595	208
71.3016	250
73.1412	294.667
74.9825	342
76.8214	366.667
78.662	390
80.5001	406
82.34	431.333
84.1774	464.667
86.0166	470.667
87.8532	487.333
89.6917	490.667
91.5276	472
93.3632	490.667
95.2006	481.333
97.0355	488.667
98.8721	478
100.706	480
102.54	490
104.376	490.667
106.209	508
108.041	528.667
109.876	505.333
111.708	508.667
113.542	498
115.373	511.333
117.204	494
119.036	501.333
120.867	505.333
122.697	499.333
124.526	482
126.357	497.333
128.186	486
130.014	492
131.845	496.667
133.672	490
135.5	499.333
137.327	506
139.155	502.667
140.982	508
142.807	498.667
144.633	500
146.46	516.667
148.285	500.667
150.11	498
151.934	516
153.757	512.667
155.583	500
157.406	529.333
159.229	507.333
161.051	524
162.873	492.667
164.697	504.667
166.518	502
168.339	520
170.159	487.333
171.98	508.667
173.799	514
175.619	480
177.44	521.333
179.259	500.667
181.077	491.333
182.895	499.333
184.713	492
186.53	500
188.347	509.333
190.164	499.333
191.98	521.333
193.796	494.667
195.612	512
197.427	506
199.242	526.667
201.059	501.333
202.873	517.333
204.686	493.333
206.5	507.333
208.313	510
210.126	512.667
211.938	492
213.75	508.667
215.562	484.667
217.373	500
219.184	500
220.993	500.667
222.803	501.333
224.613	496
226.422	480
228.232	493.333
230.04	496
231.849	462.667
233.657	488
235.465	476.667
237.272	486.667
239.079	488.667
240.886	468.667
242.693	490.667
244.497	488
246.302	501.333
248.108	498.667
249.913	500
251.717	496.667
253.521	488.667
255.325	498
257.127	500.667
258.93	478
260.733	494.667
262.535	474.667
264.338	498
266.137	482.667
267.939	481.333
269.74	488
271.541	494.667
273.341	500.667
275.139	482.667
276.939	482.667
278.738	478
280.537	488
282.334	484
284.132	492.667
285.93	480
287.728	479.333
289.523	488.667
291.32	483.333
293.117	488
294.911	484
296.707	473.333
298.502	488
300.295	477.333
302.09	494
303.885	490.667
305.677	492
307.47	490.667
309.264	500.667
311.055	512
312.848	506.667
314.64	496.667
316.43	490
318.222	490
320.011	500.667
321.802	491.333
323.593	496
325.381	502
327.171	497.333
328.958	507.333
330.748	494
332.535	497.333
334.323	507.333
336.109	507.333
337.897	498.667
339.685	477.333
341.47	504.667
343.257	506
345.041	506.667
346.827	500
348.611	502.667
350.397	507.333
352.18	513.333
353.962	507.333
355.747	490.667
357.529	486.667
359.312	509.333
361.094	496
362.877	502
364.658	496.667
366.44	503.333
368.22	515.333
369.999	501.333
371.781	512
373.56	518
375.34	500
377.119	504
378.896	504
380.676	511.333
382.453	506
384.23	510
386.009	524
387.785	497.333
389.561	525.333
391.338	525.333
393.113	518.667
394.888	530
396.665	511.333
398.439	519.333
400.213	532
401.988	523.333
403.761	530.667
405.534	518.667
407.306	510.667
409.081	522.667
410.852	514.667
412.624	526
414.395	528
416.167	526
417.938	522
419.708	518
421.477	528
423.249	532.667
425.018	534
426.786	521.333
428.555	514
430.323	530.667
432.092	526.667
433.86	518
435.627	510.667
437.393	522
439.16	495.333
440.926	519.333
442.691	532
444.458	532.667
446.223	523.333
447.988	529.333
449.752	537.333
451.516	512.667
453.28	533.333
455.043	546
456.806	528
458.568	532
460.33	527.333
462.092	536.667
463.854	536
465.615	533.333
467.378	538.667
469.138	536.667
470.899	538
472.658	526
