#Acq. time (s)=	15
#Accumulations=	4
#Range (cm-¹)=	50...4000
#Windows=	3
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	5%
#Laser=	532nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	120523
#Site=	ap
#Title=	mz
#Remark=	5 laser intensity
#Date=	12.05.2023 17:23
#Acquired=	12.05.2023 17:23:54
51.0297	20
52.8754	28.4111
54.7185	29.4889
56.5635	27.9001
58.406	34.9778
60.2502	52.0556
62.0919	70.4668
63.9355	92.2112
65.7765	104.622
67.6193	125.033
69.4595	146.778
71.3016	190.522
73.1412	246.267
74.9825	276.678
76.8214	295.756
78.662	317.5
80.5001	345.245
82.34	387.656
84.1774	406.067
86.0166	439.811
87.8532	456.223
89.6917	456.634
91.5276	449.045
93.3632	454.123
95.2006	442.534
97.0355	449.612
98.8721	444.689
100.706	469.1
102.54	466.845
104.376	461.256
106.209	485.667
108.041	487.412
109.876	469.156
111.708	488.901
113.542	498.645
115.373	505.056
117.204	498.134
119.036	475.878
120.867	497.623
122.697	488.034
124.526	489.112
126.357	508.19
128.186	482.601
130.014	485.679
131.845	480.09
133.672	483.167
135.5	504.245
137.327	505.323
139.155	489.734
140.982	504.812
142.807	498.556
144.633	521.634
146.46	528.712
148.285	503.79
150.11	512.868
151.934	515.945
153.757	531.69
155.583	513.434
157.406	534.512
159.229	520.923
161.051	521.334
162.873	520.412
164.697	508.157
166.518	527.234
168.339	505.646
170.159	519.39
171.98	506.468
173.799	531.546
175.619	518.623
177.44	527.701
179.259	534.779
181.077	535.19
182.895	522.935
184.713	516.679
186.53	524.424
188.347	526.835
190.164	531.912
191.98	536.99
193.796	522.068
195.612	540.479
197.427	547.557
199.242	543.301
201.059	535.046
202.873	542.79
204.686	526.535
206.5	554.946
208.313	522.69
210.126	550.435
211.938	536.179
213.75	536.59
215.562	537.002
217.373	529.413
219.184	541.824
220.993	524.235
222.803	532.646
224.613	548.391
226.422	549.468
228.232	547.213
230.04	548.957
231.849	554.702
233.657	531.779
235.465	538.857
237.272	553.935
239.079	542.346
240.886	549.424
242.693	536.502
244.497	540.246
246.302	564.657
248.108	553.735
249.913	537.48
251.717	557.891
253.521	552.302
255.325	552.046
257.127	559.124
258.93	548.202
260.733	555.28
262.535	562.358
264.338	562.102
266.137	553.847
267.939	550.258
269.74	553.335
271.541	554.413
273.341	566.158
275.139	555.902
276.939	544.98
278.738	562.724
280.537	563.802
282.334	572.213
284.132	563.291
285.93	561.036
287.728	550.113
289.523	567.191
291.32	568.269
293.117	560.68
294.911	562.425
296.707	562.836
298.502	565.247
300.295	556.991
302.09	563.402
303.885	568.48
305.677	567.558
307.47	570.636
309.264	579.714
311.055	572.125
312.848	585.869
314.64	582.28
316.43	581.358
318.222	561.769
320.011	556.847
321.802	585.258
323.593	565.669
325.381	570.081
327.171	579.158
328.958	570.903
330.748	585.314
332.535	577.725
334.323	570.136
336.109	576.547
337.897	574.292
339.685	574.036
341.47	577.114
343.257	572.192
345.041	579.936
346.827	585.681
348.611	583.425
350.397	575.17
352.18	583.581
353.962	591.992
355.747	587.07
357.529	579.481
359.312	561.892
361.094	584.97
362.877	588.048
364.658	580.459
366.44	584.87
368.22	569.281
369.999	605.025
371.781	574.77
373.56	597.181
375.34	588.259
377.119	595.336
378.896	601.748
380.676	596.159
382.453	587.903
384.23	616.314
386.009	596.726
387.785	611.137
389.561	596.214
391.338	615.959
393.113	607.037
394.888	594.115
396.665	601.859
398.439	607.603
400.213	599.348
401.988	616.426
403.761	603.503
405.534	602.581
407.306	612.992
409.081	610.737
410.852	609.815
412.624	612.226
414.395	625.97
416.167	611.715
417.938	614.793
419.708	615.87
421.477	618.948
423.249	604.026
425.018	609.104
426.786	622.182
428.555	611.259
430.323	585.67
432.092	604.082
433.86	615.159
435.627	592.904
437.393	611.315
439.16	630.393
440.926	590.804
442.691	625.882
444.458	637.626
446.223	622.037
447.988	630.448
449.752	631.526
451.516	609.937
453.28	635.015
455.043	621.426
456.806	618.504
458.568	627.582
460.33	617.326
462.092	633.071
463.854	641.482
465.615	635.893
467.378	642.971
469.138	632.049
470.899	641.126
472.658	625.538
474.418	648.615
476.177	652.36
477.936	645.438
479.694	647.182
481.452	632.926
483.21	630.671
484.966	645.082
486.723	659.493
488.48	651.904
490.236	642.982
491.992	648.06
493.748	629.138
495.503	652.882
497.258	651.96
499.013	660.371
500.768	646.116
502.522	636.527
504.276	656.938
506.029	667.349
507.78	639.76
509.533	637.505
511.285	650.582
513.037	662.327
514.789	636.738
516.54	641.149
518.289	646.227
520.04	660.638
521.791	656.382
523.541	646.127
525.29	657.871
527.04	658.949
528.787	671.36
530.536	652.438
532.284	679.516
534.032	667.927
535.778	673.005
537.525	662.749
539.272	664.494
541.019	669.572
542.763	661.316
544.509	679.06
546.255	688.138
548	691.216
549.743	692.294
551.488	680.705
553.232	668.449
554.974	692.194
556.718	668.605
558.462	669.016
560.203	678.761
561.945	673.172
563.688	658.25
565.428	681.327
567.169	673.738
568.911	676.816
570.65	661.894
572.391	673.638
574.129	688.05
575.869	675.127
577.609	692.205
579.346	689.283
581.085	690.361
582.822	685.439
584.56	691.183
586.296	681.594
588.034	682.005
589.771	685.75
591.506	684.161
593.243	676.572
594.978	658.983
596.714	680.061
598.447	674.472
600.183	694.883
601.916	678.628
603.651	708.372
605.383	671.45
607.117	667.194
608.849	688.939
610.582	681.35
612.313	735.761
614.044	692.839
615.776	703.917
617.507	680.328
619.238	696.739
620.968	691.15
622.699	708.228
624.428	716.639
626.156	715.717
627.886	699.461
629.614	717.872
631.342	710.284
633.071	719.361
634.797	724.439
636.526	718.184
638.252	712.595
639.978	732.339
641.705	725.417
643.431	716.495
645.155	724.906
646.88	723.984
648.606	735.728
650.33	720.806
652.053	719.217
653.779	686.962
655.502	720.706
657.224	727.784
658.946	728.862
660.67	745.939
662.392	725.684
664.113	723.428
665.834	696.506
667.556	718.917
669.277	718.662
670.997	723.74
