AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;ArmandoReye-2023-10-12--01-04-50
Method;
Comentarios;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99100919
Last_SST;8/18/2023 9:12:00 AM +00:00
User_Name;administrator
Measurement_Started;10/12/2023 1:04:50 AM
Measurement_Finished;10/12/2023 1:06:02 AM
Measurement_Saved;10/12/2023 1:06:02 AM
Wavelength;785
Laser_Power;450
Auto_Exposure;True
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Microwave Probe (785 nm)
Probe_SN;99117511
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;False
Baseline_Correction;True
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
762.00;-24.79
764.00;-24.85
766.00;-34.38
768.00;-37.19
770.00;-29.02
772.00;-27.59
774.00;-29.90
776.00;-25.79
778.00;-21.92
780.00;-20.04
782.00;-17.11
784.00;-18.96
786.00;-20.39
788.00;-18.90
790.00;-4.14
792.00;6.85
794.00;7.12
796.00;23.96
798.00;41.44
800.00;52.21
802.00;75.11
804.00;99.92
806.00;131.38
808.00;173.37
810.00;240.14
812.00;329.39
814.00;415.44
816.00;473.26
818.00;478.60
820.00;425.29
822.00;329.79
824.00;249.79
826.00;191.85
828.00;146.34
830.00;110.19
832.00;85.95
834.00;73.09
836.00;71.61
838.00;61.85
840.00;48.10
842.00;42.25
844.00;36.78
846.00;31.36
848.00;30.93
850.00;23.14
852.00;8.48
854.00;13.93
856.00;16.73
858.00;4.09
860.00;-2.71
862.00;-3.50
864.00;4.23
866.00;-1.27
868.00;3.26
870.00;3.11
872.00;8.57
874.00;-7.34
876.00;-9.79
878.00;-6.80
880.00;-5.86
882.00;-9.73
884.00;-7.01
886.00;-12.74
888.00;-15.40
890.00;-17.50
892.00;-15.07
894.00;-17.76
896.00;-22.07
898.00;-15.11
900.00;-13.91
902.00;-21.70
904.00;-5.72
906.00;-7.29
908.00;-5.62
910.00;-0.38
912.00;-3.16
914.00;-8.08
916.00;6.16
918.00;0.67
920.00;10.91
922.00;21.61
924.00;22.28
926.00;31.63
928.00;24.18
930.00;30.50
932.00;37.90
934.00;42.09
936.00;54.95
938.00;69.56
940.00;88.92
942.00;93.41
944.00;99.91
946.00;97.55
948.00;100.57
950.00;92.29
952.00;78.40
954.00;57.56
956.00;48.10
958.00;33.68
960.00;16.31
962.00;9.85
964.00;9.22
966.00;6.95
968.00;0.81
970.00;-12.54
972.00;-7.89
974.00;-15.55
976.00;-3.65
978.00;-18.19
980.00;-16.99
982.00;-26.27
984.00;-17.71
986.00;-16.90
988.00;-15.14
990.00;-13.21
992.00;-15.71
994.00;-14.47
996.00;-28.82
998.00;-15.54
1000.00;-11.33
1002.00;-16.13
1004.00;-21.62
1006.00;-17.23
1008.00;-8.74
1010.00;-9.63
1012.00;2.89
1014.00;4.02
1016.00;-0.58
1018.00;-2.45
1020.00;4.61
1022.00;15.32
1024.00;21.01
1026.00;34.77
1028.00;50.70
1030.00;64.39
1032.00;75.66
1034.00;114.41
1036.00;166.35
1038.00;232.81
1040.00;347.57
1042.00;535.70
1044.00;802.93
1046.00;1075.32
1048.00;1219.01
1050.00;1189.53
1052.00;984.81
1054.00;694.63
1056.00;446.27
1058.00;287.85
1060.00;182.02
1062.00;132.49
1064.00;97.10
1066.00;77.88
1068.00;65.10
1070.00;48.70
1072.00;37.51
1074.00;7.82
1076.00;1.78
1078.00;5.44
1080.00;11.73
1082.00;23.67
1084.00;12.41
1086.00;-3.34
1088.00;7.36
1090.00;5.62
1092.00;3.39
1094.00;15.62
1096.00;18.57
1098.00;27.61
1100.00;35.88
1102.00;37.00
1104.00;28.60
1106.00;35.23
1108.00;33.50
1110.00;41.47
1112.00;43.51
1114.00;57.61
1116.00;48.20
1118.00;35.16
1120.00;35.12
1122.00;36.90
1124.00;30.71
1126.00;27.17
1128.00;21.09
1130.00;30.19
1132.00;36.83
