AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;punto inicial Dr A. Reyes
Method;
Comentarios;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99100919
Last_SST;8/18/2023 9:12:00 AM +00:00
User_Name;administrator
Measurement_Started;10/12/2023 1:13:42 AM
Measurement_Finished;10/12/2023 1:14:23 AM
Measurement_Saved;10/12/2023 1:15:00 AM
Wavelength;785
Laser_Power;450
Auto_Exposure;True
Exposure_Time;10000
Averaged_Spectra;1
Probe_Type;Microwave Probe (785 nm)
Probe_SN;99117511
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;False
Baseline_Correction;True
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
756.00;-8.10
758.00;-12.97
760.00;-12.34
762.00;-25.48
764.00;-24.23
766.00;-37.65
768.00;-26.01
770.00;-30.72
772.00;-24.63
774.00;-20.85
776.00;-32.10
778.00;-35.87
780.00;-31.17
782.00;-24.29
784.00;-13.99
786.00;-16.48
788.00;-23.77
790.00;-25.58
792.00;-15.43
794.00;-2.07
796.00;-0.78
798.00;-0.58
800.00;6.51
802.00;35.41
804.00;51.26
806.00;44.59
808.00;55.43
810.00;62.01
812.00;83.67
814.00;90.54
816.00;95.47
818.00;98.76
820.00;97.07
822.00;85.09
824.00;89.89
826.00;79.82
828.00;60.25
830.00;48.64
832.00;62.93
834.00;60.69
836.00;60.96
838.00;59.96
840.00;59.07
842.00;42.46
844.00;45.55
846.00;31.13
848.00;43.06
850.00;31.41
852.00;18.55
854.00;15.17
856.00;11.82
858.00;5.86
860.00;19.19
862.00;11.38
864.00;-4.64
866.00;12.69
868.00;23.39
870.00;1.72
872.00;12.23
874.00;-9.29
876.00;-12.01
878.00;4.31
880.00;-13.00
882.00;-21.13
884.00;-0.70
886.00;-8.16
888.00;-7.22
890.00;-4.40
892.00;-12.59
894.00;-18.29
896.00;-16.48
898.00;-3.57
900.00;-7.32
902.00;-25.68
904.00;-15.61
906.00;-4.37
908.00;-2.73
910.00;-1.45
912.00;-2.13
914.00;-5.38
916.00;-1.32
918.00;2.23
920.00;10.89
922.00;12.15
924.00;9.98
926.00;6.81
928.00;-9.69
930.00;0.78
932.00;4.01
934.00;14.78
