#Acq. time (s)=	15
#Accumulations=	3
#Range (cm-¹)=	50...1300
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	50%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	CM
#Site=	11-05-23
#Title=	CO
#Remark=	ch1
#Date=	11.05.2023 16:27
#Acquired=	11.05.2023 16:27:32
550.973	43955
552.18	43999
553.387	44090
554.594	43826
555.8	43919
557.006	43841
558.212	43814
559.418	43863
560.623	43645
561.828	43909
563.035	43766
564.239	43892
565.444	43756
566.648	43850
567.853	43853
569.057	43753
570.26	43754
571.464	43753
572.667	43717
573.871	43518
575.074	43803
576.277	43881
577.479	43852
578.682	43783
579.884	43749
581.086	43624
582.288	43667
583.49	43637
584.691	43778
585.893	43740
587.094	43727
588.295	43714
589.496	43785
590.696	43601
591.897	43675
593.095	43674
594.296	43541
595.495	43463
596.695	43566
597.894	43363
599.094	43576
600.293	43657
601.49	43618
602.689	43769
603.888	43734
605.086	43698
606.284	43646
607.482	43821
608.678	43661
609.876	43762
611.073	43618
612.27	43616
613.466	43730
614.663	43548
615.859	43749
617.056	43754
618.251	43735
619.447	43675
620.643	43864
621.837	43748
623.032	43733
624.228	43744
625.423	43832
626.616	43877
627.811	43647
629.004	43748
630.199	43663
631.393	43846
632.585	43763
633.779	43643
634.973	44080
636.165	43764
637.358	43677
638.55	43800
639.743	43828
640.934	43838
642.126	43784
643.319	43729
644.509	43745
645.701	43614
646.892	43636
648.083	43483
649.273	43581
650.464	43522
651.654	43439
652.845	43607
654.034	43570
655.224	43349
656.413	43470
657.602	43175
658.792	43342
659.98	43298
661.169	43215
662.357	43131
663.547	42980
664.734	43033
665.921	42918
667.11	42690
668.297	42908
669.484	42788
670.672	42655
671.858	42699
673.044	42715
674.232	42677
675.418	42590
676.603	42347
677.79	42553
678.976	42577
680.161	42273
681.347	42296
682.532	42104
683.716	42030
684.901	42017
686.086	42008
687.27	41799
688.454	41956
689.638	41851
690.821	41775
692.006	41930
693.189	41932
694.372	41844
695.555	41669
696.737	41788
697.919	41380
699.103	41572
700.285	41603
701.467	41614
702.648	41309
703.83	41239
705.011	41306
706.192	41311
707.373	41348
708.553	41339
709.734	41515
710.916	41248
712.096	41238
713.276	41228
714.455	41064
715.635	41160
716.814	41184
717.994	41047
719.173	40942
720.351	41025
721.53	40974
722.709	40947
723.887	40782
725.065	40888
726.243	40836
727.419	40780
728.597	40819
729.774	40682
730.951	40691
732.128	40660
733.305	40650
734.482	40456
735.658	40657
736.834	40455
738.01	40449
739.185	40452
740.361	40459
741.536	40347
742.711	40250
743.887	40164
745.06	40175
746.235	39984
747.41	40023
748.584	39866
749.758	39830
750.931	39634
752.105	39776
753.278	39727
754.452	39556
755.624	39509
756.797	39464
757.97	39534
759.141	39454
760.314	39554
761.486	39463
762.659	39217
763.829	39208
765.001	39293
766.173	39131
767.343	38990
768.514	39062
769.684	38997
770.855	38889
772.026	38932
773.195	38710
774.365	38601
775.534	38638
776.704	38628
777.874	38514
779.042	38507
780.212	38286
781.38	38202
782.549	38393
783.716	38326
784.885	38240
786.052	38234
787.221	38201
788.388	38087
789.556	38024
790.722	38095
791.89	37910
793.056	37907
794.223	37774
795.389	37831
796.554	37720
797.721	37857
798.886	37763
800.053	37757
801.218	37632
802.382	37544
803.548	37779
804.712	37509
805.877	37375
807.042	37413
808.206	37380
809.369	37372
810.534	37528
811.697	37376
812.86	37524
814.025	37382
815.187	37398
816.35	37358
817.512	37310
818.676	37360
819.837	37223
820.999	37166
822.161	37060
823.324	37093
824.485	37174
825.646	37308
826.807	37214
827.967	36970
829.129	37041
830.29	37141
831.45	36915
832.61	37057
833.77	37123
834.929	36983
836.089	36985
837.249	36831
838.408	36912
839.567	37025
840.726	36843
841.885	36916
843.043	36740
844.201	36815
845.359	36746
846.517	36697
847.675	36651
848.832	36684
849.989	36585
851.146	36529
852.303	36514
853.46	36433
854.617	36558
855.773	36417
856.929	36262
858.085	36233
859.241	36282
860.397	36185
861.552	36011
862.708	36089
863.863	36094
865.018	35939
866.171	35934
867.326	35937
868.48	35684
869.634	35692
870.788	35815
871.942	35881
873.096	35713
874.248	35633
875.402	35648
876.555	35474
877.708	35463
878.861	35258
880.012	35177
881.164	35160
882.317	34933
883.469	34839
884.619	34738
885.771	34837
886.923	34738
888.074	34739
889.224	34567
890.375	34450
891.526	34360
892.675	34516
893.826	34203
894.976	34263
896.125	34019
897.275	34070
898.424	34000
899.573	34053
900.722	33889
901.871	33888
903.019	33822
904.168	33880
905.315	33584
906.464	33721
907.611	33525
908.759	33505
909.907	33447
911.054	33414
912.201	33442
913.348	33346
914.495	33250
915.641	33171
916.788	33037
917.933	33230
919.08	33312
920.225	33178
921.371	33170
922.516	32973
923.66	33013
924.806	33003
925.95	32929
927.096	32879
928.24	32829
929.383	32708
930.528	32802
931.671	32821
932.816	32745
933.959	32704
935.102	32593
936.246	32502
937.388	32502
938.53	32806
939.674	32441
940.816	32331
941.957	32406
943.099	32477
944.242	32297
945.383	32298
946.524	32324
947.665	32291
948.807	32296
949.947	32265
