#Acq. time (s)=	15
#Accumulations=	3
#Range (cm-¹)=	50...1300
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	100%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	CM
#Site=	11-05-23
#Title=	CO
#Remark=	ch1
#Date=	11.05.2023 16:29
#Acquired=	11.05.2023 16:29:28
50.1258	17171
51.4176	17220
52.7092	17308
54.0021	18051
55.2932	19512
56.5841	22142
57.8748	26724
59.1669	31263
60.4572	34885
61.7472	37081
63.0371	37840
64.3283	38151
65.6177	38382
66.907	38337
68.196	38533
69.4848	38828
70.7734	38886
72.0633	39297
73.3515	39346
74.6395	39509
75.9272	39781
77.2148	40073
78.5021	40083
79.7892	40287
81.0761	40467
82.3644	40508
83.6509	40680
84.9371	40974
86.2232	41057
87.5091	41079
88.7947	41142
90.0802	41239
91.3654	41401
92.6504	41879
93.9352	41979
95.2198	42163
96.5042	42410
97.7884	42530
99.0724	42867
100.356	43072
101.64	43179
102.923	43202
104.206	43449
105.489	43699
106.772	43802
108.054	43842
109.337	43980
110.619	44181
111.901	44306
113.182	44415
114.464	44367
115.745	44690
117.024	44689
118.305	45030
119.586	45138
120.866	45083
122.147	45449
123.426	45612
124.706	45895
125.986	45940
127.264	45829
128.543	46174
129.822	46494
131.101	46631
132.379	46784
133.657	46931
134.934	46965
136.212	47175
137.49	47570
138.767	47425
140.043	47628
141.32	47611
142.597	47645
143.873	48160
145.148	47979
146.425	48166
147.701	48259
148.977	48169
150.251	48570
151.526	48736
152.801	48631
154.075	49008
155.35	48990
156.624	49065
157.897	49210
159.171	49486
160.445	49463
161.717	49630
162.991	49838
164.264	49778
165.536	49993
166.809	50204
168.081	50094
169.353	50306
170.625	50662
171.895	50711
173.167	50537
174.437	50809
175.709	50865
176.98	51246
178.25	51326
179.521	51443
180.79	51440
182.06	51783
183.329	51907
184.599	52121
185.867	52284
187.137	52497
188.405	52653
189.674	53085
190.942	53252
192.21	53410
193.477	53497
194.746	53689
196.012	53690
197.279	53812
198.547	53862
199.813	54180
201.08	54389
202.346	54387
203.613	54787
204.878	54947
206.143	54999
207.409	55234
208.674	55497
209.938	55499
211.204	55664
